!sil !sil sil_S
<eps> <eps> sil
<noise> <noise> spn_S
<unk> <unk> spn_S
あ あ あ_S
い い い_S
う う う_S
え え え_S
お お お_S
か か か_S
が が が_S
き き き_S
ぎ ぎ ぎ_S
く く く_S
ぐ ぐ ぐ_S
け け け_S
げ げ げ_S
こ こ こ_S
ご ご ご_S
さ さ さ_S
ざ ざ ざ_S
し し し_S
じ じ じ_S
す す す_S
ず ず ず_S
せ せ せ_S
ぜ ぜ ぜ_S
そ そ そ_S
ぞ ぞ ぞ_S
た た た_S
だ だ だ_S
ち ち ち_S
っ っ っ_S
つ つ つ_S
て て て_S
で で で_S
と と と_S
ど ど ど_S
な な な_S
に に に_S
ぬ ぬ ぬ_S
ね ね ね_S
の の の_S
は は は_S
ば ば ば_S
ぱ ぱ ぱ_S
ひ ひ ひ_S
び び び_S
ぶ ぶ ぶ_S
へ へ へ_S
べ べ べ_S
ほ ほ ほ_S
ぼ ぼ ぼ_S
ぽ ぽ ぽ_S
ま ま ま_S
み み み_S
む む む_S
め め め_S
も も も_S
ゃ ゃ ゃ_S
や や や_S
ゅ ゅ ゅ_S
ゆ ゆ ゆ_S
ょ ょ ょ_S
よ よ よ_S
ら ら ら_S
り り り_S
る る る_S
れ れ れ_S
ろ ろ ろ_S
わ わ わ_S
を を を_S
ん ん ん_S
イ イ イ_S
カ カ カ_S
ス ス ス_S
チ チ チ_S
ャ ャ ャ_S
ラ ラ ラ_S
ン ン ン_S
ー ー ー_S
