!sil !sil sil_S
<eps> <eps> sil
<noise> <noise> spn_S
<unk> <unk> spn_S
あ あ あ_S
い い い_S
う う う_S
うぇ うぇ うぇ_S
え え え_S
お お お_S
か か か_S
が が が_S
が鼻 が鼻 が鼻_S
き き き_S
きゃ きゃ きゃ_S
きゅ きゅ きゅ_S
きょ きょ きょ_S
ぎ ぎ ぎ_S
ぎゃ ぎゃ ぎゃ_S
ぎゅ ぎゅ ぎゅ_S
ぎょ ぎょ ぎょ_S
ぎ鼻 ぎ鼻 ぎ鼻_S
く く く_S
ぐ ぐ ぐ_S
ぐ鼻 ぐ鼻 ぐ鼻_S
け け け_S
げ げ げ_S
げ鼻 げ鼻 げ鼻_S
こ こ こ_S
ご ご ご_S
ご鼻 ご鼻 ご鼻_S
さ さ さ_S
ざ ざ ざ_S
し し し_S
しゃ しゃ しゃ_S
しゅ しゅ しゅ_S
しょ しょ しょ_S
じ じ じ_S
じゃ じゃ じゃ_S
じゅ じゅ じゅ_S
じょ じょ じょ_S
す す す_S
ず ず ず_S
せ せ せ_S
ぜ ぜ ぜ_S
そ そ そ_S
ぞ ぞ ぞ_S
た た た_S
だ だ だ_S
ち ち ち_S
ちゃ ちゃ ちゃ_S
ちゅ ちゅ ちゅ_S
ちょ ちょ ちょ_S
ぢ ぢ ぢ_S
っ っ っ_S
つ つ つ_S
づ づ づ_S
て て て_S
で で で_S
でぃ でぃ でぃ_S
と と と_S
ど ど ど_S
な な な_S
に に に_S
にゃ にゃ にゃ_S
にゅ にゅ にゅ_S
にょ にょ にょ_S
ぬ ぬ ぬ_S
ね ね ね_S
の の の_S
は は は_S
ば ば ば_S
ぱ ぱ ぱ_S
ひ ひ ひ_S
ひゃ ひゃ ひゃ_S
ひゅ ひゅ ひゅ_S
ひょ ひょ ひょ_S
び び び_S
びゃ びゃ びゃ_S
びゅ びゅ びゅ_S
びょ びょ びょ_S
ぴ ぴ ぴ_S
ぴゃ ぴゃ ぴゃ_S
ぴゅ ぴゅ ぴゅ_S
ぴょ ぴょ ぴょ_S
ふ ふ ふ_S
ふぃ ふぃ ふぃ_S
ぶ ぶ ぶ_S
ぷ ぷ ぷ_S
へ へ へ_S
べ べ べ_S
ぺ ぺ ぺ_S
ほ ほ ほ_S
ぼ ぼ ぼ_S
ぽ ぽ ぽ_S
ま ま ま_S
み み み_S
みゃ みゃ みゃ_S
みゅ みゅ みゅ_S
みょ みょ みょ_S
む む む_S
め め め_S
も も も_S
や や や_S
ゆ ゆ ゆ_S
ょ ょ ょ_S
よ よ よ_S
ら ら ら_S
り り り_S
りゃ りゃ りゃ_S
りゅ りゅ りゅ_S
りょ りょ りょ_S
る る る_S
れ れ れ_S
ろ ろ ろ_S
わ わ わ_S
を を を_S
ん ん ん_S
ウィ ウィ ウィ_S
ウェ ウェ ウェ_S
ウォ ウォ ウォ_S
シェ シェ シェ_S
ジェ ジェ ジェ_S
チェ チェ チェ_S
ティ ティ ティ_S
ディ ディ ディ_S
デュ デュ デュ_S
トゥ トゥ トゥ_S
ファ ファ ファ_S
フィ フィ フィ_S
フェ フェ フェ_S
フォ フォ フォ_S
フュ フュ フュ_S
ヴァ ヴァ ヴァ_S
ヴィ ヴィ ヴィ_S
ヴェ ヴェ ヴェ_S
ヴォ ヴォ ヴォ_S
ー ー ー_S
～ ～ ～_S
